gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,16384,2048,2048,cktile,11,0,113.2656,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1213.42,925.77,0.0
gfx950,256,1,2624,6144,ck,8,0,18.5572,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.74,869.38,0.0
gfx950,256,2,2624,6144,ck,8,0,18.5807,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.47,868.89,0.0
gfx950,256,4,2624,6144,ck,8,0,18.6792,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.9,865.53,0.0
gfx950,256,8,2624,6144,ck,8,0,18.6723,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,13.81,868.29,0.0
gfx950,256,16,2624,6144,ck,8,0,18.131,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,28.45,899.24,0.0
gfx950,256,24,2624,6144,ck,8,0,18.8007,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,41.16,872.06,0.0
gfx950,256,32,2624,6144,ck,8,0,18.1357,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,56.89,909.06,0.0
gfx950,256,64,2624,6144,ck,8,0,18.1244,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,113.86,929.74,0.0
gfx950,256,1696,2624,6144,ck,0,0,67.0789,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,815.24,528.37,0.0
gfx950,256,16384,2624,6144,cktile,11,0,315.7776,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1672.95,642.12,0.0
